CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/29/2018,20:30:00,4B,3000 S HANOVER ST,AGG. ASSAULT,O,KNIFE,922,SOUTHERN,Middle Branch/Reedbird Pa,-76.61498,39.25137,"(39.25137, -76.61498)",STREET,,1
06/29/2018,20:30:00,6F,1000 STOLL PL,LARCENY,O,,913,SOUTHERN,Brooklyn,-76.59767,39.22988,"(39.22988, -76.59767)",STREET,,1
10/25/2017,22:00:00,5D,,BURGLARY,I,,943,SOUTHERN,,,,,RESTAURANT,,1
06/29/2018,20:25:00,4E,3800 LIBERTY HEIGHTS AVE,COMMON ASSAULT,O,,642,NORTHWESTERN,Callaway-Garrison,-76.68126,39.32704,"(39.32704, -76.68126)",STREET,,1
06/29/2018,20:20:00,4E,3700 COLUMBUS DR,COMMON ASSAULT,I,,643,NORTHWESTERN,Dolfield,-76.67736,39.33858,"(39.33858, -76.67736)",ROW/TOWNHO,,1
06/29/2018,20:13:00,4E,2800 W NORTH AVE,COMMON ASSAULT,I,,811,SOUTHWESTERN,Walbrook,-76.66493,39.30923,"(39.30923, -76.66493)",ROW/TOWNHO,,1
06/29/2018,20:08:00,4F,2100 PARKSLEY AVE,ASSAULT BY THREAT,I,,831,SOUTHWESTERN,Morrell Park,-76.65023,39.26365,"(39.26365, -76.65023)",ROW/TOWNHO,,1
06/29/2018,20:00:00,4F,300 S BROADWAY,ASSAULT BY THREAT,I,,213,SOUTHEASTERN,Fells Point,-76.59355,39.28747,"(39.28747, -76.59355)",ROW/TOWNHO,,1
06/29/2018,20:00:00,6D,2000 WESTWOOD AVE,LARCENY FROM AUTO,O,,741,WESTERN,Easterwood,-76.65057,39.30872,"(39.30872, -76.65057)",STREET,,1
06/29/2018,20:00:00,6E,2500 WINCHESTER ST,LARCENY,O,,723,WESTERN,Bridgeview/Greenlawn,-76.65867,39.30149,"(39.30149, -76.65867)",PARKING LO,,1
