Date,Time,Address,Crime,Inside/Outside,Weapon,PostCode,District,Neighborhood,Longitude,Latitude,Location,Premise
interval+date,interval+minute,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal
43286,1380,100 N CURLEY ST,3,O,,222,SOUTHEASTERN,Patterson Park Neighborho,-76.5756,39.29356,"(39.29356, -76.5756)",STREET
43286,1370,1200 BOLTON ST,13,O,FIREARM,132,CENTRAL,Bolton Hill,-76.62349,39.30486,"(39.30486, -76.62349)",STREET
43286,1360,300 MASON CT,0,I,OTHER,211,SOUTHEASTERN,Perkins Homes,-76.5958,39.28716,"(39.28716, -76.5958)",ROW/TOWNHO
43286,1360,3000 W NORTH AVE,5,I,,813,SOUTHWESTERN,Northwest Community Actio,-76.66783,39.30898,"(39.30898, -76.66783)",APT/CONDO
43286,1350,3200 E LOMBARD ST,2,I,,222,SOUTHEASTERN,Patterson Park Neighborho,-76.57021,39.29132,"(39.29132, -76.57021)",ROW/TOWNHO
43286,1332,500 S BOULDIN ST,7,O,,232,SOUTHEASTERN,Canton,-76.57075,39.28609,"(39.28609, -76.57075)",STREET
43286,1275,AV & SEWARD AV,3,,,444,NORTHEASTERN,Frankford,-76.5387,39.32849,"(39.32849, -76.5387)",
43286,1260,4400 FRANCONIA DR,5,I,,443,NORTHEASTERN,Frankford,-76.55839,39.32673,"(39.32673, -76.55839)",APT/CONDO
43286,1260,1300 MYRTLE AVE,8,O,,123,CENTRAL,Upton,-76.63329,39.29959,"(39.29959, -76.63329)",STREET
43286,1255,2800 W LANVALE ST,5,I,,721,WESTERN,Mosher,-76.66435,39.29714,"(39.29714, -76.66435)",ROW/TOWNHO
43286,1253,5400 RADECKE AVE,7,I,,444,NORTHEASTERN,Frankford,-76.54154,39.32919,"(39.32919, -76.54154)",CONVENIENC
43286,1208,300 S FRANKLINTOWN RD,5,,,842,SOUTHWESTERN,Shipley Hill,-76.65751,39.28332,"(39.28332, -76.65751)",
43286,1208,2400 BELAIR RD,8,,,434,NORTHEASTERN,Belair-Edison,-76.57819,39.31766,"(39.31766, -76.57819)",
43286,1200,4200 AUDREY AVE,0,,OTHER,913,SOUTHERN,Brooklyn,-76.60534,39.22954,"(39.22954, -76.60534)",
43286,1200,5900 OAKLEAF AVE,2,I,,631,NORTHWESTERN,Reisterstown Station,-76.69796,39.34953,"(39.34953, -76.69796)",CAR  REPAI
43286,1200,2800 CHESLEY AVE,8,O,,424,NORTHEASTERN,North Harford Road,-76.55282,39.36694,"(39.36694, -76.55282)",STREET
43286,1200,1200 WASHINGTON BLVD,7,O,,932,SOUTHERN,Washington Village/Pigtow,-76.63432,39.28153,"(39.28153, -76.63432)",STREET
43286,1200,1600 N PAYSON ST,3,O,,741,WESTERN,Easterwood,-76.64976,39.30676,"(39.30676, -76.64976)",STREET
43286,1187,2000 N BROADWAY,7,I,,342,EASTERN,South Clifton Park,-76.59604,39.31328,"(39.31328, -76.59604)",RETAIL/SMA
43286,1185,3000 MAYFIELD AVE,7,O,,432,NORTHEASTERN,Belair-Edison,-76.57102,39.32114,"(39.32114, -76.57102)",STREET
