Date,Time,Address,Crime,Inside/Outside,Weapon,PostCode,District,Neighborhood,Longitude,Latitude,Location,Premise
interval+date,interval+minute,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal
43287,153,1300 MYRTLE AVE,0,O,OTHER,123,CENTRAL,Upton,-76.63275,39.29907,"(39.29907, -76.63275)",STREET
43287,150,RD & PATTERSON AV,3,O,,631,NORTHWESTERN,Reisterstown Station,-76.70252,39.35617,"(39.35617, -76.70252)",STREET
43287,143,25TH ST & ST PAUL ST,2,,,514,NORTHERN,Charles Village,-76.61539,39.3179,"(39.3179, -76.61539)",
43287,129,500 N ROBINSON ST,13,I,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,-76.57295,39.29721,"(39.29721, -76.57295)",ROW/TOWNHO
43287,129,500 N ROBINSON ST,13,I,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,-76.57295,39.29721,"(39.29721, -76.57295)",ROW/TOWNHO
43287,115,100 N BROADWAY,13,O,FIREARM,212,SOUTHEASTERN,Washington Hill,-76.5941,39.29296,"(39.29296, -76.5941)",STREET
43287,93,4600 EDMONDSON AVE,11,O,FIREARM,822,SOUTHWESTERN,Hunting Ridge,-76.69559,39.29339,"(39.29339, -76.69559)",STREET
43287,75,1100 LAURENS ST,5,,,743,WESTERN,Sandtown-Winchester,-76.63753,39.30343,"(39.30343, -76.63753)",
43287,60,100 W NORTH AVE,5,I,,141,CENTRAL,Charles North,-76.61822,39.31113,"(39.31113, -76.61822)",HOTEL/MOTE
43287,60,2000 RUXTON AVE,3,O,,731,WESTERN,Mondawmin,-76.65498,39.31084,"(39.31084, -76.65498)",STREET
43287,30,ST & E HAMBURG ST,8,,,942,SOUTHERN,Federal Hill,-76.61257,39.27823,"(39.27823, -76.61257)",
43287,10,600 RAPPOLLA ST,5,I,,242,SOUTHEASTERN,Greektown,-76.55286,39.28589,"(39.28589, -76.55286)",ROW/TOWNHO
43287,1,2100 GARRISON BLVD,3,O,,812,SOUTHWESTERN,Mount Holly,-76.67501,39311,"(39.311, -76.67501)",STREET
43287,0,6600 CHANDLERY ST,7,O,,243,SOUTHEASTERN,Holabird Industrial Park,-76.53163,39.27033,"(39.27033, -76.53163)",PARKING LO
43287,0,1600 N BENTALOU ST,7,,,723,WESTERN,Coppin Heights/Ash-Co-Eas,-76.65391,39.30688,"(39.30688, -76.65391)",
43286,1420,3900 BELVIEU AVE,3,O,,643,NORTHWESTERN,Dolfield,-76.68305,39.33975,"(39.33975, -76.68305)",STREET
43286,1410,1200 EDISON HWY,0,,KNIFE,332,EASTERN,Berea,-76.57299,39.30551,"(39.30551, -76.57299)",
43286,1410,3600 LYNDALE AVE,5,I,,432,NORTHEASTERN,Belair-Edison,-76.56833,39.31662,"(39.31662, -76.56833)",WHOLESALE/
43286,1410,600 MAUDE AVE,5,O,,913,SOUTHERN,Brooklyn,-76.60034,39.23813,"(39.23813, -76.60034)",STREET
43286,1406,2000 MCCULLOH ST,0,I,OTHER,131,CENTRAL,Druid Heights,-76.6348,39.30817,"(39.30817, -76.6348)",ROW/TOWNHO
43286,1405,300 N GAY ST,0,,OTHER,211,EASTERN,Jonestown,-76.60756,39.29357,"(39.29357, -76.60756)",
43286,1390,5100 GWYNN OAK AVE,7,I,,622,NORTHWESTERN,Howard Park,-76.70197,39.33032,"(39.33032, -76.70197)",ROW/TOWNHO
43286,1380,5500 MAGNOLIA AVE,8,O,,633,NORTHWESTERN,Arlington,-76.68491,39.35112,"(39.35112, -76.68491)",STREET
43286,1380,2100 WINDSOR GARDENS LN,7,,,821,SOUTHWESTERN,Wakefield,-76.69973,39.31017,"(39.31017, -76.69973)",
43286,1380,5400 THE ALAMEDA,3,O,,523,NORTHERN,Cameron Village,-76.59759,39.3548,"(39.3548, -76.59759)",STREET
